Team1,Team2,Total_Matches,Team1_Total_Wins,Team2_Total_Wins,Draws,Team1_Goals_For,Team2_Goals_For,Team1_Win_Rate,Team2_Win_Rate,Goal_Difference
Liverpool,Nottingham,85,64,8,13,195,61,75.29,9.41,134
Chelsea,Newcastle,85,61,7,17,183,65,71.76,8.24,118
Liverpool,Wolverhampton,85,59,12,14,170,76,69.41,14.12,94
Vörös Ördögök,Wolverhampton,85,57,11,17,181,73,67.06,12.94,108
Manchester Kék,West Ham,85,57,13,15,169,66,67.06,15.29,103
London Ágyúk,Nottingham,85,56,17,12,140,59,65.88,20.0,81
Manchester Kék,Nottingham,85,55,17,13,153,61,64.71,20.0,92
Vörös Ördögök,West Ham,85,54,9,22,171,67,63.53,10.59,104
Manchester Kék,Newcastle,85,54,13,18,184,94,63.53,15.29,90
Liverpool,West Ham,85,53,14,18,158,64,62.35,16.47,94
Chelsea,Nottingham,85,52,12,21,139,52,61.18,14.12,87
Chelsea,Crystal Palace,85,52,11,22,125,50,61.18,12.94,75
Manchester Kék,Wolverhampton,85,52,12,21,195,89,61.18,14.12,106
Chelsea,West Ham,85,51,11,23,163,66,60.0,12.94,97
Everton,Nottingham,85,51,10,24,131,51,60.0,11.76,80
Chelsea,Wolverhampton,85,50,17,18,159,80,58.82,20.0,79
Liverpool,Newcastle,85,50,22,13,153,85,58.82,25.88,68
Tottenham,Wolverhampton,85,49,21,15,146,77,57.65,24.71,69
London Ágyúk,West Ham,85,47,21,17,127,82,55.29,24.71,45
Everton,Fulham,85,47,14,24,119,57,55.29,16.47,62
Everton,Wolverhampton,85,47,21,17,128,82,55.29,24.71,46
Chelsea,Vörös Ördögök,85,46,24,15,138,88,54.12,28.24,50
Everton,West Ham,85,46,20,19,141,63,54.12,23.53,78
Chelsea,Fulham,85,44,17,24,148,82,51.76,20.0,66
Everton,Newcastle,85,43,20,22,121,78,50.59,23.53,43
Newcastle,Nottingham,85,43,18,24,116,75,50.59,21.18,41
Brentford,Nottingham,85,43,14,28,105,47,50.59,16.47,58
Chelsea,Tottenham,85,42,25,18,123,88,49.41,29.41,35
Tottenham,West Ham,85,42,18,25,140,75,49.41,21.18,65
Brentford,Brighton,85,42,15,28,97,52,49.41,17.65,45
Brentford,West Ham,85,42,17,26,120,73,49.41,20.0,47
London Ágyúk,Newcastle,85,41,25,19,139,91,48.24,29.41,48
Manchester Kék,Tottenham,85,41,31,13,144,126,48.24,36.47,18
Fulham,West Ham,85,40,27,18,112,85,47.06,31.76,27
Liverpool,Tottenham,85,40,27,18,121,92,47.06,31.76,29
London Ágyúk,Wolverhampton,85,39,23,23,143,102,45.88,27.06,41
Newcastle,West Ham,85,39,22,24,133,94,45.88,25.88,39
Chelsea,Everton,85,38,30,17,101,81,44.71,35.29,20
Liverpool,London Ágyúk,85,38,25,22,110,86,44.71,29.41,24
Fulham,Nottingham,85,36,19,30,110,74,42.35,22.35,36
Fulham,Newcastle,85,36,35,14,100,103,42.35,41.18,-3
Brighton,Nottingham,85,36,24,25,103,77,42.35,28.24,26
Chelsea,London Ágyúk,85,36,24,25,131,106,42.35,28.24,25
London Ágyúk,Tottenham,85,36,30,19,126,106,42.35,35.29,20
Manchester Kék,Vörös Ördögök,85,36,39,10,135,137,42.35,45.88,-2
Fulham,Wolverhampton,85,35,32,18,112,99,41.18,37.65,13
Brighton,Crystal Palace,85,34,33,18,86,88,40.0,38.82,-2
Chelsea,Manchester Kék,85,34,30,21,116,102,40.0,35.29,14
Liverpool,Vörös Ördögök,85,34,30,21,127,117,40.0,35.29,10
Newcastle,Wolverhampton,85,34,31,20,131,124,40.0,36.47,7
London Ágyúk,Vörös Ördögök,85,31,38,16,115,132,36.47,44.71,-17
Liverpool,Manchester Kék,85,31,30,24,135,117,36.47,35.29,18
Brentford,Crystal Palace,85,31,22,32,63,49,36.47,25.88,14
Crystal Palace,Nottingham,85,30,29,26,93,93,35.29,34.12,0
Crystal Palace,West Ham,85,30,26,29,77,76,35.29,30.59,1
