Hazai csapat,Vendég csapat,Hazai gólok,Vendég gólok,Mindkét csapat szerzett gólt
Everton,Liverpool,1,1,Igen
Everton,Wolverhampton,1,1,Igen
Everton,Vörös Ördögök,1,1,Igen
Everton,Wolverhampton,2,1,Igen
Everton,Manchester Kék,2,1,Igen
Everton,Brighton,2,1,Igen
Everton,Newcastle,2,1,Igen
Everton,London Ágyúk,1,1,Igen
Everton,Liverpool,1,1,Igen
Everton,Nottingham,2,1,Igen
Everton,Brentford,1,1,Igen
Everton,Chelsea,1,1,Igen
Everton,West Ham,1,2,Igen
Everton,Tottenham,1,1,Igen
Everton,Liverpool,1,4,Igen
Everton,Newcastle,1,3,Igen
Everton,Crystal Palace,2,2,Igen
Everton,Tottenham,1,1,Igen
Everton,Aston Oroszlán,1,2,Igen
Everton,Brentford,1,1,Igen
Everton,Crystal Palace,1,1,Igen
Everton,Nottingham,1,1,Igen
Everton,Chelsea,2,2,Igen
Everton,Tottenham,1,1,Igen
Everton,Vörös Ördögök,2,1,Igen
Everton,Fulham,4,2,Igen
Everton,Wolverhampton,1,1,Igen
Everton,London Ágyúk,1,2,Igen
Everton,Brentford,2,3,Igen
Everton,Tottenham,1,1,Igen
Everton,West Ham,2,1,Igen
Everton,Fulham,1,1,Igen
Everton,Liverpool,2,1,Igen
Everton,Nottingham,1,1,Igen
Everton,Manchester Kék,1,1,Igen
Everton,Vörös Ördögök,3,1,Igen
Everton,West Ham,1,1,Igen
Everton,Tottenham,2,1,Igen
Everton,Wolverhampton,2,1,Igen
Everton,Vörös Ördögök,2,1,Igen
Everton,Liverpool,1,1,Igen
Everton,Chelsea,2,1,Igen
Everton,London Ágyúk,2,1,Igen
Everton,Wolverhampton,2,1,Igen
Everton,Brentford,1,1,Igen
Everton,West Ham,3,1,Igen
Everton,Fulham,5,1,Igen
Everton,London Ágyúk,4,3,Igen
Everton,Brighton,3,1,Igen
Everton,Newcastle,2,1,Igen
Everton,London Ágyúk,1,1,Igen
Everton,Liverpool,1,2,Igen
Everton,Nottingham,2,4,Igen
Everton,Tottenham,2,1,Igen
Everton,Manchester Kék,3,1,Igen
Everton,Fulham,2,1,Igen
Everton,West Ham,4,1,Igen
Everton,Chelsea,1,1,Igen
Everton,Vörös Ördögök,2,2,Igen
Everton,Wolverhampton,2,1,Igen
Everton,West Ham,4,1,Igen
