,matches_played,wins,draws,losses,goals_scored,goals_conceded,btts_matches,win_rate,btts_rate,avg_goals_scored,avg_goals_conceded
Vörös Ördögök,1275,660,296,319,2080,1349,636,0.5176470588235295,0.4988235294117647,1.6313725490196078,1.0580392156862746
Everton,1275,570,348,357,1582,1179,515,0.4470588235294118,0.403921568627451,1.2407843137254901,0.9247058823529412
Fulham,1275,399,347,529,1328,1595,546,0.3129411764705882,0.42823529411764705,1.0415686274509803,1.2509803921568627
Manchester Kék,1275,689,278,308,2182,1311,630,0.5403921568627451,0.49411764705882355,1.711372549019608,1.0282352941176471
Brighton,1275,312,344,619,1165,1858,560,0.2447058823529412,0.4392156862745098,0.9137254901960784,1.4572549019607843
Liverpool,1275,689,293,293,2001,1119,553,0.5403921568627451,0.4337254901960784,1.5694117647058823,0.8776470588235294
Chelsea,1275,693,302,280,2015,1108,554,0.5435294117647059,0.4345098039215686,1.580392156862745,0.8690196078431373
Crystal Palace,1275,309,381,585,971,1507,449,0.24235294117647058,0.35215686274509805,0.7615686274509804,1.1819607843137254
Nottingham,1275,257,326,692,989,1921,523,0.2015686274509804,0.41019607843137257,0.7756862745098039,1.5066666666666666
Brentford,1275,430,390,455,1232,1279,472,0.33725490196078434,0.37019607843137253,0.9662745098039216,1.0031372549019608
London Ágyúk,1275,573,315,387,1843,1440,613,0.44941176470588234,0.4807843137254902,1.4454901960784314,1.1294117647058823
Tottenham,1275,600,323,352,1864,1356,646,0.47058823529411764,0.5066666666666667,1.4619607843137254,1.0635294117647058
Wolverhampton,1275,405,321,549,1493,1897,644,0.3176470588235294,0.5050980392156863,1.1709803921568627,1.487843137254902
Newcastle,1275,424,309,542,1525,1789,652,0.3325490196078431,0.5113725490196078,1.196078431372549,1.4031372549019607
Aston Oroszlán,1275,223,383,669,929,1813,499,0.17490196078431372,0.39137254901960783,0.7286274509803922,1.4219607843137254
West Ham,1275,318,342,615,1218,1896,590,0.24941176470588236,0.4627450980392157,0.9552941176470588,1.4870588235294118
